welcome.started,welcome.stopped,ID-Nummer,Alter,Geschlecht (optional),date,expName,psychopyVersion,OS,frameRate,participant,load_guess_conditions.started,load_guess_conditions.stopped,guess_conditions.thisRepN,guess_conditions.thisTrialN,guess_conditions.thisN,guess_conditions.thisIndex,guess_conditions.ran,guess_trial,randomizer,instructions1.started,instructions1.stopped,instruction1_key.keys,instruction1_key.rt,instruction1_key.duration,instructions2.started,instructions2.stopped,instruction2_key.keys,instruction2_key.rt,instruction2_key.duration,instructions3.started,instructions3.stopped,instruction3_key.keys,instruction3_key.rt,instruction3_key.duration,instructions4.started,instructions4.stopped,instruction4_key.keys,instruction4_key.rt,instruction4_key.duration
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,9,9,34,1,Read,0.112797892,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,10,10,10,1,Read,0.613164444,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,11,11,31,1,Guess,0.092580742,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,12,12,17,1,Guess,0.104437097,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,13,13,1,1,Guess,0.952162206,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.021,3.021,0,14,14,5,1,Guess,0.01873447,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,15,15,15,1,Guess,0.075947494,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,16,16,7,1,Guess,0.644792097,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,17,17,23,1,Guess,0.781440522,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,18,18,2,1,Read,0.02347598,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,19,19,4,1,Read,0.640402041,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,20,20,11,1,Guess,0.805573122,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,21,21,37,1,Guess,0.585062366,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,22,22,21,1,Guess,0.38751911,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.022,3.022,0,23,23,38,1,Read,0.815852513,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.023,3.023,0,24,24,26,1,Read,0.055311196,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.023,3.023,0,25,25,32,1,Read,0.436678806,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.023,3.023,0,26,26,16,1,Read,0.812207018,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.023,3.023,0,27,27,36,1,Read,0.314840019,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,28,28,27,1,Guess,0.681161334,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,29,29,19,1,Guess,0.096595818,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,30,30,0,1,Read,0.51513309,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,31,31,30,1,Read,0.191181817,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,32,32,8,1,Read,0.196287165,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,33,33,24,1,Read,0.036047544,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,34,34,33,1,Guess,0.893806662,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,35,35,35,1,Guess,0.257554014,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.024,3.024,0,36,36,9,1,Guess,0.481509697,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.025,3.025,0,37,37,18,1,Read,0.67780954,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,3.025,3.025,0,38,38,13,1,Guess,0.54823733,,,,,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,3.025,3.376,space,0.271,,,,,,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,3.376,18.201,space,14.776,,,,,,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,18.201,26.562,space,8.309,,,,,,
,,265801,20,,2024-12-12_17h50.10.341,guess,2024.2.4,Win32,60.16847172,2450,,,,,,,,,,,,,,,,,,,,,,,,,26.562,43.683,space,17.049,
